SOC,OCV
0.1997,3.40248
0.2,3.40669
0.2002,3.40802
0.2005,3.41102
0.2008,3.41413
0.2011,3.4158
0.2013,3.41702
0.2016,3.42013
0.2019,3.42113
0.2022,3.42191
0.2025,3.42313
0.2027,3.42402
0.203,3.42602
0.2033,3.42735
0.2036,3.42702
0.2038,3.42891
0.2041,3.43035
0.2044,3.43091
0.2047,3.43424
0.2049,3.43491
0.2052,3.43602
0.2055,3.43502
0.2058,3.43602
0.2061,3.4378
0.2063,3.43802
0.2066,3.43924
0.2069,3.43902
0.2072,3.44002
0.2074,3.4408
0.2077,3.44102
0.208,3.44213
0.2083,3.44191
0.2085,3.44302
0.2088,3.44402
0.2091,3.44491
0.2094,3.44602
0.2097,3.44713
0.21,3.4488
0.2103,3.44902
0.2105,3.44802
0.2108,3.44991
0.2111,3.45013
0.2114,3.45113
0.2117,3.45213
0.2119,3.45313
0.2122,3.45313
0.2125,3.45413
0.2128,3.45502
0.213,3.45402
0.2133,3.45491
0.2136,3.45613
0.2139,3.45602
0.2141,3.45613
0.2144,3.45713
0.2147,3.45791
0.215,3.45902
0.2152,3.4598
0.2155,3.46002
0.2158,3.46002
0.2161,3.46013
0.2164,3.46102
0.2166,3.46113
0.2169,3.46202
0.2172,3.46191
0.2175,3.46291
0.2177,3.46413
0.218,3.4648
0.2183,3.46613
0.2186,3.46691
0.2188,3.46702
0.2191,3.46813
0.2194,3.46713
0.2197,3.46713
0.2199,3.46791
0.2202,3.46813
0.2205,3.46913
0.2208,3.46902
0.2211,3.46913
0.2213,3.47013
0.2216,3.46991
0.2219,3.47102
0.2222,3.47102
0.2224,3.47202
0.2227,3.47191
0.223,3.47202
0.2233,3.47291
0.2235,3.47324
0.2238,3.47302
0.2242,3.47313
0.2244,3.47302
0.2247,3.47413
0.225,3.47413
0.2253,3.47402
0.2255,3.47502
0.2258,3.47491
0.2261,3.47491
0.2264,3.47602
0.2267,3.47802
0.2269,3.47691
0.2272,3.47791
0.2275,3.47824
0.2278,3.47902
0.228,3.47891
0.2283,3.47913
0.2286,3.48002
0.2289,3.47991
0.2291,3.48102
0.2294,3.48013
0.2297,3.48091
0.23,3.48102
0.2303,3.48091
0.2305,3.48091
0.2308,3.48213
0.2311,3.48202
0.2314,3.48213
0.2316,3.48302
0.2319,3.48302
0.2322,3.48391
0.2325,3.4838
0.2327,3.48491
0.233,3.48502
0.2333,3.48535
0.2336,3.48502
0.2338,3.48624
0.2341,3.48613
0.2344,3.48602
0.2347,3.48613
0.235,3.48602
0.2352,3.48613
0.2355,3.48602
0.2358,3.48602
0.2361,3.48624
0.2363,3.48691
0.2366,3.48702
0.2369,3.48813
0.2372,3.48802
0.2374,3.48824
0.2377,3.48802
0.238,3.48913
0.2383,3.48902
0.2385,3.48902
0.2388,3.48924
0.2391,3.49002
0.2394,3.49013
0.2397,3.4908
0.24,3.49013
0.2403,3.49113
0.2406,3.49102
0.2408,3.49213
0.2411,3.49102
0.2414,3.49213
0.2417,3.49202
0.2419,3.49202
0.2422,3.49302
0.2425,3.49213
0.2428,3.49302
0.243,3.49191
0.2433,3.49324
0.2436,3.49391
0.2439,3.49391
0.2441,3.49491
0.2444,3.49602
0.2447,3.49502
0.245,3.49602
0.2453,3.49613
0.2455,3.49669
0.2458,3.49713
0.2461,3.49702
0.2464,3.49824
0.2466,3.49802
0.2469,3.49802
0.2472,3.49891
0.2475,3.49802
0.2477,3.49813
0.248,3.49913
0.2483,3.49902
0.2486,3.49869
0.2488,3.49913
0.2491,3.49891
0.2494,3.49902
0.2497,3.49913
0.25,3.50002
0.2502,3.50013
0.2505,3.49991
0.2508,3.50002
0.2511,3.49991
0.2513,3.50102
0.2516,3.50102
0.2519,3.50102
0.2522,3.50213
0.2524,3.50213
0.2527,3.50202
0.253,3.50213
0.2533,3.50291
0.2535,3.50302
0.2538,3.50313
0.2542,3.5028
0.2544,3.50324
0.2547,3.50302
0.255,3.50302
0.2553,3.50313
0.2556,3.50402
0.2558,3.50402
0.2561,3.50413
0.2564,3.50502
0.2567,3.50402
0.2569,3.50424
0.2572,3.50513
0.2575,3.50491
0.2578,3.50491
0.258,3.50513
0.2583,3.50591
0.2586,3.50613
0.2589,3.50602
0.2591,3.50602
0.2594,3.50702
0.2597,3.50713
0.26,3.50802
0.2603,3.50802
0.2605,3.50902
0.2608,3.50891
0.2611,3.50991
0.2614,3.50913
0.2616,3.50991
0.2619,3.51013
0.2622,3.51113
0.2625,3.51013
0.2627,3.51113
0.263,3.51024
0.2633,3.51091
0.2636,3.5108
0.2639,3.51102
0.2641,3.51013
0.2644,3.51091
0.2647,3.51113
0.265,3.51102
0.2652,3.51091
0.2655,3.51202
0.2658,3.51213
0.2661,3.51291
0.2663,3.51313
0.2666,3.51302
0.2669,3.51302
0.2672,3.51402
0.2674,3.51491
0.2677,3.51424
0.268,3.51502
0.2683,3.51491
0.2686,3.51591
0.2688,3.51591
0.2691,3.51602
0.2695,3.51602
0.2697,3.51702
0.27,3.51702
0.2703,3.51602
0.2706,3.51702
0.2708,3.51724
0.2711,3.51702
0.2714,3.51713
0.2717,3.5168
0.2719,3.5168
0.2722,3.51702
0.2725,3.51702
0.2728,3.51724
0.273,3.51802
0.2733,3.51791
0.2736,3.51802
0.2739,3.51802
0.2742,3.51802
0.2744,3.51813
0.2747,3.51791
0.275,3.51813
